Date,wjb
20080101,102
20080102,90.8
20080103,79.8
20080104,71.8
20080105,71.4
20080106,79.7
20080107,76.7
20080108,71.9
20080109,68.6
20080110,67.1
20080111,68.7
20080112,72.9
20080113,77.8
20080114,83.4
20080115,89
20080116,93.8
20080117,98.3
20080118,103
20080119,107
20080120,110
20080121,111
20080122,108
20080123,103
20080124,94.8
20080125,89.9
20080126,88.1
20080127,88.3
20080128,89.7
20080129,91.6
20080130,94
20080131,96.4
20080201,99.2
20080202,101
20080203,99.9
20080204,99.3
20080205,99.6
20080206,100
20080207,102
20080208,106
20080209,113
20080210,121
20080211,125
20080212,125
20080213,122
20080214,119
20080215,115
20080216,110
20080217,105
20080218,99.3
20080219,94.2
20080220,88.5
20080221,82.2
20080222,76.3
20080223,71.1
20080224,67
20080225,64.3
20080226,63.9
20080227,65.2
20080228,67.2
20080229,70
20080301,72.9
20080302,77.3
20080303,82
20080304,82.2
20080305,78.3
20080306,74.5
20080307,79.4
20080308,90.9
20080309,101
20080310,104
20080311,99.7
20080312,91.6
20080313,82
20080314,76.4
20080315,77.5
20080316,80.9
20080317,84.8
20080318,88.3
20080319,91.2
20080320,93.3
20080321,94.8
20080322,93.5
20080323,88.9
20080324,82.5
20080325,74.6
20080326,65.8
20080327,56.9
20080328,47.3
20080329,41.3
20080330,41.5
20080331,44.2
20080401,46.6
20080402,45.4
20080403,43.1
20080404,42.2
20080405,42
20080406,43.8
20080407,49.1
20080408,62.1
20080409,238
20080410,348
20080411,279
20080412,262
20080413,232
20080414,196
20080415,167
20080416,143
20080417,123
20080418,106
20080419,100
20080420,831
20080421,2700
20080422,3020
20080423,2000
20080424,1250
20080425,849
20080426,609
20080427,468
20080428,434
20080429,392
20080430,312
20080501,243
20080502,208
20080503,202
20080504,270
20080505,535
20080506,669
20080507,549
20080508,435
20080509,349
20080510,306
20080511,286
20080512,266
20080513,250
20080514,232
20080515,217
20080516,203
20080517,190
20080518,177
20080519,164
20080520,150
20080521,138
20080522,128
20080523,122
20080524,120
20080525,120
20080526,123
20080527,132
20080528,144
20080529,156
20080530,162
20080531,161
20080601,160
20080602,155
20080603,145
20080604,132
20080605,116
20080606,98.7
20080607,87.1
20080608,147
20080609,118
20080610,101
20080611,96.1
20080612,96.7
20080613,100
20080614,106
20080615,116
20080616,132
20080617,157
20080618,165
20080619,159
20080620,149
20080621,148
20080622,292
20080623,499
20080624,498
20080625,440
20080626,358
20080627,283
20080628,235
20080629,208
20080630,185
20080701,165
20080702,152
20080703,151
20080704,152
20080705,185
20080706,233
20080707,249
20080708,271
20080709,341
20080710,485
20080711,669
20080712,626
20080713,527
20080714,464
20080715,422
20080716,388
20080717,364
20080718,343
20080719,326
20080720,311
20080721,296
20080722,292
20080723,529
20080724,2230
20080725,3960
20080726,4140
20080727,3570
20080728,2800
20080729,2190
20080730,1640
20080731,1130
20080801,902
20080802,769
20080803,996
20080804,1130
20080805,1070
20080806,954
20080807,889
20080808,781
20080809,618
20080810,519
20080811,463
20080812,414
20080813,355
20080814,384
20080815,750
20080816,1140
20080817,2300
20080818,4110
20080819,4020
20080820,3010
20080821,2030
20080822,1550
20080823,1210
20080824,956
20080825,771
20080826,603
20080827,491
20080828,430
20080829,401
20080830,527
20080831,1730
20080901,2660
20080902,2290
20080903,1620
20080904,1110
20080905,795
20080906,614
20080907,528
20080908,450
20080909,402
20080910,382
20080911,366
20080912,347
20080913,333
20080914,309
20080915,285
20080916,265
20080917,250
20080918,240
20080919,235
20080920,234
20080921,235
20080922,239
20080923,236
20080924,341
20080925,425
20080926,351
20080927,291
20080928,257
20080929,229
20080930,207
20081001,194
20081002,196
20081003,213
20081004,227
20081005,231
20081006,225
20081007,214
20081008,204
20081009,197
20081010,190
20081011,182
20081012,174
20081013,164
20081014,151
20081015,136
20081016,138
20081017,140
20081018,139
20081019,138
20081020,138
20081021,139
20081022,144
20081023,247
20081024,337
20081025,368
20081026,359
20081027,331
20081028,296
20081029,274
20081030,284
20081031,275
20081101,231
20081102,206
20081103,200
20081104,197
20081105,196
20081106,194
20081107,192
20081108,188
20081109,182
20081110,175
20081111,169
20081112,162
20081113,155
20081114,149
20081115,143
20081116,139
20081117,138
20081118,138
20081119,136
20081120,134
20081121,132
20081122,130
20081123,128
20081124,127
20081125,125
20081126,124
20081127,122
20081128,121
20081129,120
20081130,118
20081201,117
20081202,116
20081203,114
20081204,113
20081205,112
20081206,112
20081207,114
20081208,118
20081209,123
20081210,128
20081211,126
20081212,120
20081213,117
20081214,117
20081215,125
20081216,129
20081217,129
20081218,127
20081219,122
20081220,117
20081221,112
20081222,106
20081223,103
20081224,101
20081225,104
20081226,114
20081227,123
20081228,123
20081229,119
20081230,112
20081231,103
20090101,94.3
20090102,97.9
20090103,102
20090104,99.3
20090105,94.9
20090106,89.9
20090107,84.1
20090108,78.7
20090109,73.2
20090110,67.8
20090111,62.4
20090112,57.7
20090113,53.5
20090114,50.7
20090115,49.9
20090116,51.7
20090117,64.6
20090118,71.2
20090119,72.1
20090120,71.5
20090121,69.1
20090122,66.2
20090123,62.8
20090124,59.7
20090125,59.2
20090126,60.3
20090127,62.8
20090128,69.3
20090129,77.5
20090130,77.9
20090131,77.2
20090201,75.8
20090202,73.6
20090203,72.1
20090204,71.4
20090205,70.4
20090206,70.1
20090207,70.8
20090208,70.5
20090209,66
20090210,60.2
20090211,61.8
20090212,63.9
20090213,64.4
20090214,62.7
20090215,59.6
20090216,55.9
20090217,51.2
20090218,45.9
20090219,40.9
20090220,39
20090221,41.8
20090222,45.7
20090223,49.2
20090224,52.1
20090225,53.4
20090226,53.6
20090227,53.6
20090228,80.6
20090301,89.8
20090302,89.4
20090303,91.7
20090304,90.2
20090305,87.7
20090306,86.1
20090307,84.3
20090308,83.5
20090309,84.1
20090310,82.9
20090311,85.5
20090312,85.4
20090313,79.2
20090314,73.8
20090315,73.5
20090316,74
20090317,75.4
20090318,78.3
20090319,80.9
20090320,85.6
20090321,94.3
20090322,94.5
20090323,93
20090324,93
20090325,92.9
20090326,92.4
20090327,91.4
20090328,89.1
20090329,85.5
20090330,84
20090331,82.4
20090401,77.5
20090402,68.3
20090403,58.3
20090404,57.5
20090405,59.3
20090406,59.6
20090407,59.1
20090408,57.8
20090409,54.6
20090410,42.2
20090411,31.7
20090412,31.5
20090413,32.4
20090414,33.2
20090415,34
20090416,34.8
20090417,36
20090418,37.3
20090419,42.1
20090420,51.2
20090421,58.3
20090422,75.2
20090423,174
20090424,238
20090425,227
20090426,194
20090427,195
20090428,162
20090429,131
20090430,112
20090501,103
20090502,103
20090503,101
20090504,98
20090505,94.8
20090506,91.5
20090507,88.5
20090508,85.9
20090509,83.7
20090510,82.3
20090511,82
20090512,81.2
20090513,75.9
20090514,61.7
20090515,50.2
20090516,45.9
20090517,51.1
20090518,56.9
20090519,59.3
20090520,63.8
20090521,77.1
20090522,85.3
20090523,84.7
20090524,83.1
20090525,107
20090526,281
20090527,524
20090528,514
20090529,410
20090530,345
20090531,315
20090601,274
20090602,208
20090603,164
20090604,146
20090605,142
20090606,129
20090607,111
20090608,105
20090609,110
20090610,122
20090611,163
20090612,218
20090613,224
20090614,185
20090615,154
20090616,131
20090617,117
20090618,116
20090619,120
20090620,123
20090621,127
20090622,131
20090623,135
20090624,139
20090625,140
20090626,137
20090627,132
20090628,131
20090629,135
20090630,128
20090701,122
20090702,154
20090703,211
20090704,196
20090705,169
20090706,158
20090707,156
20090708,150
20090709,143
20090710,142
20090711,139
20090712,136
20090713,149
20090714,128
20090715,119
20090716,127
20090717,128
20090718,123
20090719,115
20090720,104
20090721,89.7
20090722,97.4
20090723,264
20090724,673
20090725,611
20090726,451
20090727,344
20090728,277
20090729,229
20090730,195
20090731,170
20090801,158
20090802,152
20090803,142
20090804,125
20090805,120
20090806,110
20090807,83.9
20090808,80.1
20090809,82.6
20090810,84.8
20090811,83.5
20090812,80
20090813,75.2
20090814,70.1
20090815,66.8
20090816,65.2
20090817,66.5
20090818,75.2
20090819,92.5
20090820,125
20090821,169
20090822,217
20090823,257
20090824,269
20090825,243
20090826,209
20090827,184
20090828,170
20090829,265
20090830,1200
20090831,2130
20090901,1930
20090902,1320
20090903,945
20090904,703
20090905,564
20090906,471
20090907,396
20090908,332
20090909,276
20090910,244
20090911,238
20090912,233
20090913,200
20090914,170
20090915,158
20090916,159
20090917,163
20090918,170
20090919,165
20090920,159
20090921,175
20090922,206
20090923,201
20090924,193
20090925,184
20090926,173
20090927,162
20090928,154
20090929,152
20090930,155
20091001,146
20091002,119
20091003,111
20091004,112
20091005,114
20091006,117
20091007,117
20091008,113
20091009,107
20091010,100
20091011,99.7
20091012,102
20091013,101
20091014,98.7
20091015,95.5
20091016,87.9
20091017,79.8
20091018,78.4
20091019,79.7
20091020,80.6
20091021,80.9
20091022,80.7
20091023,80.2
20091024,79.8
20091025,79.4
20091026,78.5
20091027,76
20091028,71.2
20091029,63.2
20091030,54
20091031,47.5
20091101,45.4
20091102,47.1
20091103,50.7
20091104,54.9
20091105,58.4
20091106,57.3
20091107,52.1
20091108,46.6
20091109,46.6
20091110,50.9
20091111,54.8
20091112,58.3
20091113,61.4
20091114,63.9
20091115,65.8
20091116,66.6
20091117,65.7
20091118,72.9
20091119,86.2
20091120,91.5
20091121,92.7
20091122,91.4
20091123,88.9
20091124,85.4
20091125,80.9
