 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2009- 7-22  0: 0: 0,    29.869,     2.354,     2.902,     2.632,   314.102,     1.198,     1.143,    24.367,     1.978,    25.348,  1231.812,    97.400
2009- 7-23  0: 0: 0,     4.587,     2.250,     2.774,     2.575,   312.633,     1.193,     1.118,    22.717,     0.220,     2.817,  1468.126,   264.000
2009- 7-24  0: 0: 0,     0.003,     3.576,     4.408,     5.255,   307.377,     1.173,     1.055,    18.956,     0.000,     0.000,  1302.504,   673.000
2009- 7-25  0: 0: 0,     0.000,     3.213,     3.962,     4.647,   302.730,     1.155,     0.993,    15.438,     0.000,     0.000,  1082.257,   611.000
2009- 7-26  0: 0: 0,     4.525,     3.013,     3.714,     2.804,   301.577,     1.151,     0.950,    13.303,     0.131,     1.680,   891.140,   451.000
2009- 7-27  0: 0: 0,     9.898,     1.456,     1.796,     1.501,   301.055,     1.149,     0.979,    15.225,     0.619,     7.939,  1002.731,   344.000
2009- 7-28  0: 0: 0,     0.010,     3.337,     4.114,     4.714,   296.341,     1.131,     0.913,    12.554,     0.000,     0.000,  1050.736,   277.000
2009- 7-29  0: 0: 0,     1.155,     3.542,     4.367,     4.411,   292.365,     1.115,     0.854,    10.271,     0.022,     0.281,   933.568,   229.000
2009- 7-30  0: 0: 0,     2.420,     3.070,     3.785,     2.977,   290.335,     1.108,     0.799,     8.474,     0.033,     0.428,   742.779,   195.000
2009- 7-31  0: 0: 0,    15.143,     0.767,     0.946,     0.926,   290.314,     1.108,     0.892,    14.471,     1.029,    13.187,   836.735,   170.000
2009- 8- 1  0: 0: 0,     1.674,     2.449,     3.019,     2.559,   288.369,     1.100,     0.836,    13.013,     0.031,     0.392,   899.966,   158.000
2009- 8- 2  0: 0: 0,     1.053,     2.817,     3.473,     3.063,   285.578,     1.090,     0.780,    11.370,     0.009,     0.115,   928.323,   152.000
2009- 8- 3  0: 0: 0,     3.530,     1.873,     2.309,     1.714,   284.785,     1.087,     0.746,    10.679,     0.141,     1.811,   869.914,   142.000
2009- 8- 4  0: 0: 0,     2.440,     1.265,     1.559,     1.266,   284.563,     1.086,     0.706,     9.683,     0.078,     1.006,   745.300,   125.000
2009- 8- 5  0: 0: 0,     1.965,     1.160,     1.430,     1.068,   284.048,     1.084,     0.669,     8.918,     0.073,     0.932,   614.751,   120.000
2009- 8- 6  0: 0: 0,     0.519,     1.449,     1.786,     1.450,   282.664,     1.078,     0.624,     7.876,     0.001,     0.013,   508.812,   110.000
2009- 8- 7  0: 0: 0,     0.398,     1.807,     2.227,     2.078,   280.662,     1.071,     0.582,     7.018,     0.002,     0.027,   417.992,    83.900
2009- 8- 8  0: 0: 0,     1.973,     1.339,     1.651,     1.117,   280.336,     1.070,     0.549,     6.620,     0.045,     0.581,   337.553,    80.100
