省份,等级,地理分区,城市,City_en,Province_en
北京市,1,华北,北京市,Beijing,Beijing
重庆市,1,西南,重庆市,Chongqing,Chongqing
澳门,1,华南,澳门特别行政区,Macau,Macau  
上海市,1,华东,上海市,Shanghai,Shanghai
天津市,1,华北,天津市,Tianjin,Tianjin
香港,1,华南,香港特别行政区,Hong kong,Hong kong
吉林省,2,东北,长春市,Changchun,Jilin
四川省,2,西南,成都市,Chengdu,Sichuan
辽宁省,2,东北,大连市,Dalian,Liaoning
广东省,2,华南,广州市,Guangzhou,Guangdong
浙江省,2,华东,杭州市,Hangzhou,Zhejiang
黑龙江省,2,东北,哈尔滨市,Harbin,Heilongjiang
山东省,2,华东,济南市,Jinan,Shandong
江苏省,2,华东,南京市,Nanjing,Jiangsu
浙江省,2,华东,宁波市,Ningbo,Zhejiang
山东省,2,华东,青岛市,Qingdao,Shandong
辽宁省,2,东北,沈阳市,Shenyang,Liaoning
广东省,2,华南,深圳市,Shenzhen,Guangdong
湖北省,2,华中,武汉市,Wuhan,Hubei
陕西省,2,西北,西安市,Xi’an,Shaanxi
福建省,2,华东,厦门市,Xiamen,Fujian
辽宁省,3,东北,鞍山市,Anshan,Liaoning
内蒙古自治区,3,华北,包头市,Baotou,Inner Mongolia
辽宁省,3,东北,本溪市,Benxi,Liaoning
湖南省,3,华中,长沙市,Changsha,Hunan
山西省,3,华北,大同市,Datong,Shanxi
辽宁省,3,东北,抚顺市,Fushun,Liaoning
福建省,3,华东,福州市,Fuzhou(Min),Fujian
贵州省,3,西南,贵阳市,Guiyang,Guizhou
海南省,3,华南,海口市,Haikou,Hainan
河北省,3,华北,邯郸市,Handan,Hebei
安徽省,3,华东,合肥市,Hefei,Anhui
内蒙古自治区,3,华北,呼和浩特市,Hohhot ,Inner Mongolia
安徽省,3,华东,淮南市,Huainan,Anhui
吉林省,3,东北,吉林市,Jilin,Jilin
云南省,3,西南,昆明市,Kunming,Yunnan
甘肃省,3,西北,兰州市,Lanzhou,Gansu
西藏自治区,3,西南,拉萨市,Lhasa,Tibet
河南省,3,华中,洛阳市,Luoyang,Henan
江西省,3,华中,南昌市,Nanchang,Jiangxi
广西壮族自治区,3,华南,南宁市,Naning,Guangxi
黑龙江省,3,东北,齐齐哈尔市,Qiqihar,Heilongjiang
河北省,3,华北,石家庄市,Shijiazhuang,Hebei
江苏省,3,华东,苏州市,Suzhou(Su) ,Jiangsu
山西省,3,华北,太原市,Taiyuan,Shanxi
河北省,3,华北,唐山市,Tangshan,Hebei
新疆维吾尔自治区,3,西北,乌鲁木齐市,Urumqi,Xinjiang
