,City,Annual Radiation,Radiation,Province_en,City_en
0,安庆市,1282.0191184051898,1282.02,Anhui,Anqing
1,蚌埠市,1356.5663901596963,1356.57,Anhui,Bengbu
2,亳州市,1318.9741205233677,1318.97,Anhui,Bozhou
3,池州市,1283.081162901182,1283.08,Anhui,Chizhou
4,滁州市,1353.7630056853898,1353.76,Anhui,Chuzhou
5,阜阳市,1287.108132266774,1287.11,Anhui,Fuyang
6,合肥市,1311.7800081579512,1311.78,Anhui,Hefei
7,淮北市,1365.7426050335416,1365.74,Anhui,Huaibei
8,淮南市,1334.6211723569402,1334.62,Anhui,Huainan
9,黄山市,1284.762732074219,1284.76,Anhui,Huangshan
10,六安市,1296.0238630920733,1296.02,Anhui,Lu'an
11,马鞍山市,1337.1072524261474,1337.11,Anhui,Maanshan
12,宿州市,1375.2391551695482,1375.24,Anhui,Suzhou(Wan)
13,铜陵市,1282.81581488613,1282.82,Anhui,Tongling
14,芜湖市,1299.57185318819,1299.57,Anhui,Wuhu
15,宣城市,1306.051009671119,1306.05,Anhui,Xuancheng
17,北京市,1385.3973710894293,1385.4,Beijing,Beijing
18,福州市,1374.35265137453,1374.35,Fujian,Fuzhou(Min)
19,龙岩市,1363.8254051129695,1363.83,Fujian,Longyan
20,南平市,1312.972563083991,1312.97,Fujian,Nanping
21,宁德市,1346.5201568097364,1346.52,Fujian,Ningde
22,莆田市,1413.9019735314712,1413.9,Fujian,Putian
23,泉州市,1420.8354102084322,1420.84,Fujian,Quanzhou
24,三明市,1326.6411868236255,1326.64,Fujian,Sanming
25,厦门市,1444.78420472168,1444.78,Fujian,Xiamen
26,漳州市,1450.6745748676071,1450.67,Fujian,Zhangzhou
27,白银市,1661.5961214628446,1661.6,Gansu,Baiyin
28,定西市,1573.5870164905025,1573.59,Gansu,Dingxi
29,甘南藏族自治州,1665.045009710066,1665.05,Gansu,Gannan
30,嘉峪关市,1765.420910437951,1765.42,Gansu,Jiayuguan
31,金昌市,1742.9089125465027,1742.91,Gansu,Jinchang
32,酒泉市,1790.9361889448055,1790.94,Gansu,Jiuquan
33,兰州市,1644.314076385148,1644.31,Gansu,Lanzhou
34,临夏回族自治州,1627.504511832101,1627.5,Gansu,Linxia
35,陇南市,1352.909016627187,1352.91,Gansu,Longnan
36,平凉市,1464.27128508208,1464.27,Gansu,Pingliang
37,庆阳市,1537.2928781030953,1537.29,Gansu,Qingyang
38,天水市,1442.5612278834296,1442.56,Gansu,Tianshui
39,武威市,1727.6137420358016,1727.61,Gansu,Wuwei
40,张掖市,1726.543975327323,1726.54,Gansu,Zhangye
